,cluster_R,cluster_G,cluster_B,color
7500,53,53,53,민트
7501,146,146,145,회색
7502,126,126,129,회색
7503,44,45,46,검정
7504,159,159,163,회색
7505,220,220,222,밝은회색
7506,72,70,75,진한회색
7507,219,76,141,분홍
7508,46,45,49,검정
7509,236,234,238,연보라
7510,132,130,140,회색
7511,150,148,156,회색
7512,159,157,160,회색
7513,39,38,40,검정
7514,102,101,105,회색
7515,190,187,192,회색
7516,196,183,164,베이지
7517,215,62,63,빨강
7518,17,18,15,검정
7519,178,174,151,회색
7520,130,120,95,갈색
7521,99,85,55,갈색
7522,55,51,38,검정
7523,70,66,50,갈색
7524,83,79,64,진한회색
7525,217,217,201,밝은회색
7526,119,203,67,연두
7527,43,38,39,검정
7528,14,10,12,검정
7529,214,195,184,베이지
7530,205,146,86,황토
7531,254,76,126,분홍
7532,206,249,134,연두
7533,26,28,30,검정
7534,225,225,221,밝은회색
7535,55,57,57,검정
7536,203,52,67,버건디
7537,204,26,51,버건디
7538,226,36,64,분홍
7539,222,79,96,분홍
7540,230,231,234,밝은회색
7541,231,46,73,분홍
7542,67,61,59,진한회색
7543,233,228,219,밝은회색
7544,130,121,115,회색
7545,182,180,178,밝은회색
7546,54,50,47,검정
7547,40,36,34,검정
7548,49,52,48,검정
7549,200,198,189,밝은회색
7550,94,48,23,갈색
7551,212,214,218,밝은회색
7552,44,43,41,검정
7553,180,177,166,밝은회색
7554,85,84,84,진한회색
7555,41,39,40,검정
7556,159,118,75,황토
7557,185,184,176,밝은회색
7558,70,69,69,진한회색
7559,217,220,220,밝은회색
7560,35,33,36,검정
7561,129,136,140,회색
7562,177,76,97,분홍
7563,204,102,123,분홍
7564,80,79,82,진한회색
7565,85,85,87,진한회색
7566,205,210,195,밝은회색
7567,209,205,205,밝은회색
7568,211,208,192,밝은회색
7569,177,143,117,황토
7570,192,192,177,밝은회색
7571,189,167,124,갈색
7572,38,36,36,검정
7573,190,184,174,밝은회색
7574,228,228,221,밝은회색
7575,191,191,185,밝은회색
7576,36,31,60,남
7577,206,129,29,황토
7578,64,64,69,진한회색
7579,48,45,46,검정
7580,229,228,229,밝은회색
7581,158,157,158,회색
7582,196,196,196,밝은회색
7583,211,192,195,분홍
7584,32,32,32,검정
7585,238,239,243,흰
7586,211,211,209,회색
7587,192,192,197,회색
7588,1,60,56,청록
7589,207,205,199,밝은회색
7590,214,216,220,밝은회색
7591,56,74,85,진한회색
7592,19,41,54,진한회색
7593,82,97,107,회색
7594,73,91,104,회색
7595,169,168,161,밝은회색
7596,216,217,224,흰
7597,41,57,72,진한회색
7598,83,96,110,진한회색
7599,134,148,172,발블
7600,147,160,181,발블
7601,76,75,76,진한회색
7602,181,195,207,회색
7603,182,187,195,회색
7604,216,216,220,밝은회색
7605,145,182,203,하늘
7606,47,44,46,검정
7607,152,147,150,회색
7608,212,206,206,밝은회색
7609,133,128,131,회색
7610,72,71,72,진한회색
7611,208,207,206,밝은회색
7612,171,170,172,회색
7613,184,181,180,회색
7614,33,34,36,검정
7615,71,71,73,진한회색
7616,49,49,49,검정
7617,153,26,36,버건디
7618,126,17,23,버건디
7619,215,210,203,밝은회색
7620,245,243,243,흰
7621,213,213,215,밝은회색
7622,45,44,46,검정
7623,149,22,45,버건디
7624,106,35,46,버건디
7625,124,37,48,버건디
7626,101,4,9,빨강
7627,134,18,35,버건디
7628,75,73,75,진한회색
7629,27,28,30,검정
7630,124,219,178,민트
7631,98,198,155,민트
7632,141,227,190,민트
7633,88,190,147,연두
7634,30,31,31,검정
7635,122,40,38,버건디
7636,64,37,37,갈색
7637,76,27,27,갈색
7638,29,30,30,검정
7639,165,168,158,회색
7640,128,131,125,회색
7641,85,87,85,회색
7642,145,54,20,갈색
7643,206,207,208,밝은회색
7644,134,136,137,회색
7645,15,19,20,검정
7646,154,6,6,버건디
7647,126,147,165,발블
7648,120,141,158,발블
7649,199,201,208,밝은회색
7650,50,29,87,보라
7651,0,139,147,파랑
7652,140,157,191,발블
7653,172,189,205,발블
7654,104,118,158,발블
7655,40,40,41,검정
7656,98,38,40,갈색
7657,174,171,175,회색
7658,244,80,49,다홍
7659,25,30,48,남
7660,211,205,184,베이지
7661,42,42,43,검정
7662,132,126,129,회색
7663,173,18,38,버건디
7664,235,227,216,아이보리
7665,95,91,92,회색
7666,158,151,152,회색
7667,222,222,223,밝은회색
7668,31,29,32,검정
7669,147,7,34,버건디
7670,180,177,181,회색
7671,163,158,162,회색
7672,140,34,51,빨강
7673,102,2,12,갈색
7674,46,44,47,검정
7675,119,118,121,회색
7676,188,192,201,밝은회색
7677,254,254,255,흰
7678,208,207,210,밝은회색
7679,126,123,129,회색
7680,47,45,45,검정
7681,81,78,79,진한회색
7682,154,152,156,회색
7683,45,46,50,검정
7684,161,159,165,회색
7685,209,209,218,밝은회색
7686,117,116,121,회색
7687,129,170,173,하늘
7688,193,194,198,밝은회색
7689,28,27,28,검정
7690,209,210,214,밝은회색
7691,174,174,178,밝은회색
7692,6,6,6,검정
7693,38,38,39,검정
7694,241,1,24,빨강
7695,206,207,211,밝은회색
7696,238,26,40,빨강
7697,254,0,1,빨강
7698,176,172,170,밝은회색
7699,190,134,130,분홍
7700,246,66,46,다홍
7701,206,207,208,밝은회색
7702,170,168,168,회색
7703,40,40,44,검정
7704,222,223,231,흰
7705,185,130,78,갈색
7706,219,219,216,밝은회색
7707,45,45,44,진한회색
7708,23,26,26,검정
7709,160,160,152,회색
7710,149,173,188,회색
7711,150,150,143,회색
7712,190,33,45,빨강
7713,57,67,92,남
7714,42,45,67,남
7715,230,229,230,흰
7716,50,112,129,파랑
7717,116,117,118,회색
7718,42,44,84,남
7719,221,221,223,흰
7720,218,190,3,노랑
7721,52,104,121,파랑
7722,151,150,150,회색
7723,192,199,202,밝은회색
7724,142,171,201,발블
7725,33,33,38,검정
7726,141,136,139,회색
7727,65,66,73,진한회색
7728,225,226,232,흰
7729,40,68,126,파랑
7730,194,206,219,밝은회색
7731,45,59,95,남
